# Year Built,Floor Area,Energy Star Score,Site EUI
1.945000000000000000e+03,4.281759915499999624e+04,5.900000000000000000e+01,2.381716204999999889e+02
1.953000000000000000e+03,1.820490026800000123e+04,1.300000000000000000e+01,4.179833074999999667e+02
1.968000000000000000e+03,7.432239999999999782e+03,4.000000000000000000e+01,2.526827390999999636e+02
1.960000000000000000e+03,1.245829229999999916e+04,4.100000000000000000e+01,3.044180314999999837e+02
1.912000000000000000e+03,2.416407029999999850e+03,6.700000000000000000e+01,1.867517871999999954e+02
1.912000000000000000e+03,2.242520484900000156e+04,9.800000000000000000e+01,1.227135898999999881e+02
1.919000000000000000e+03,1.575003139600000031e+04,8.600000000000000000e+01,1.293382310000000075e+02
1.969000000000000000e+03,3.028489155200000096e+04,1.000000000000000000e+02,3.186136909999999745e+01
2.001000000000000000e+03,6.380578040000000328e+03,8.800000000000000000e+01,1.996856102999999791e+02
1.954000000000000000e+03,4.812375399999999900e+03,8.700000000000000000e+01,1.987392329999999845e+02
1.974000000000000000e+03,2.322575000000000000e+04,6.200000000000000000e+01,1.917991327999999953e+02
1.974000000000000000e+03,3.566546169999999984e+04,7.200000000000000000e+01,1.495276133999999786e+02
1.963000000000000000e+03,7.432239999999999782e+03,9.200000000000000000e+01,1.564677135999999962e+02
2.012000000000000000e+03,8.307664968999999473e+03,6.500000000000000000e+01,1.167198669999999936e+02
2.014000000000000000e+03,7.540657801000000291e+03,9.800000000000000000e+01,1.006314528999999993e+02
2.008000000000000000e+03,5.066279298999999810e+03,9.300000000000000000e+01,1.022087483999999904e+02
1.945000000000000000e+03,2.787090000000000146e+04,8.000000000000000000e+01,1.148271123999999901e+02
1.960000000000000000e+03,1.303206122800000048e+04,9.000000000000000000e+00,3.858064792999999781e+02
1.965000000000000000e+03,3.560042959999999766e+03,7.000000000000000000e+00,4.447973309999999856e+02
1.937000000000000000e+03,1.708058816200000001e+04,4.200000000000000000e+01,3.779200017999999659e+02
1.959000000000000000e+03,6.038694999999999709e+03,7.000000000000000000e+00,3.299702185999999529e+02
2.002000000000000000e+03,1.237700217499999962e+04,6.000000000000000000e+01,1.299691492000000039e+02
2.012000000000000000e+03,5.222746531600000162e+04,9.100000000000000000e+01,1.110416032000000115e+02
1.931000000000000000e+03,2.352619830200000069e+04,4.100000000000000000e+01,1.381710857999999860e+02
1.973000000000000000e+03,1.056334980899999937e+04,8.300000000000000000e+01,1.772880141999999921e+02
2.005000000000000000e+03,1.395115060699999958e+04,5.800000000000000000e+01,2.741339578999999844e+02
1.995000000000000000e+03,2.107067910900000061e+04,7.300000000000000000e+01,1.637232728999999836e+02
1.968000000000000000e+03,2.619474407399999836e+04,9.500000000000000000e+01,1.728715867999999887e+02
1.988000000000000000e+03,1.333325275399999919e+04,6.500000000000000000e+01,1.529976634999999874e+02
2.014000000000000000e+03,3.126557561999999962e+04,9.200000000000000000e+01,1.154580306000000007e+02
1.874000000000000000e+03,5.833007757999999740e+03,9.200000000000000000e+01,1.034705847999999833e+02
1.960000000000000000e+03,5.743635072000000036e+03,4.300000000000000000e+01,3.211373638000000028e+02
1.932000000000000000e+03,1.345997244599999976e+04,5.400000000000000000e+01,2.255532565000000034e+02
1.972000000000000000e+03,1.194360967999999957e+04,8.900000000000000000e+01,1.769725550999999939e+02
1.951000000000000000e+03,1.544196504800000002e+04,3.600000000000000000e+01,2.561527892000000293e+02
1.981000000000000000e+03,7.567971282999999858e+03,1.000000000000000000e+00,5.630944934999999987e+02
2.011000000000000000e+03,7.435398702000000412e+03,9.200000000000000000e+01,8.990584350000000313e+01
2.006000000000000000e+03,1.117381542199999967e+04,9.000000000000000000e+01,1.738179641000000117e+02
1.985000000000000000e+03,9.653179118000000017e+03,5.400000000000000000e+01,1.347010357000000056e+02
1.950000000000000000e+03,1.941784183599999960e+04,1.800000000000000000e+01,2.466890161999999975e+02
1.970000000000000000e+03,6.262405423999999766e+04,4.600000000000000000e+01,2.088339242000000127e+02
1.967000000000000000e+03,6.328180747999999767e+03,3.800000000000000000e+01,1.940073464999999828e+02
1.927000000000000000e+03,7.060627999999999702e+03,4.800000000000000000e+01,2.722412032999999951e+02
1.965000000000000000e+03,1.647718317699999898e+04,7.000000000000000000e+01,1.977928557000000183e+02
1.920000000000000000e+03,1.939071415999999954e+04,8.000000000000000000e+01,1.403792995000000019e+02
2.005000000000000000e+03,2.114109958299999926e+04,7.500000000000000000e+01,1.094643077000000062e+02
2.007000000000000000e+03,1.939508060100000148e+04,4.300000000000000000e+01,2.006319876000000022e+02
1.964000000000000000e+03,1.501526156900000024e+04,4.900000000000000000e+01,2.794967625999999541e+02
1.972000000000000000e+03,1.622002767300000050e+04,9.900000000000000000e+01,8.391212060000000861e+01
2.009000000000000000e+03,2.200918521500000134e+04,9.300000000000000000e+01,1.091488486000000080e+02
2.015000000000000000e+03,3.698496300899999915e+04,1.800000000000000000e+01,1.895909191000000078e+02
2.011000000000000000e+03,3.138616371399999844e+04,9.000000000000000000e+01,1.151425715000000025e+02
1.941000000000000000e+03,6.180650784000000385e+03,6.500000000000000000e+01,2.785503852999999594e+02
2.013000000000000000e+03,3.414426797799999622e+04,6.800000000000000000e+01,1.280763946000000146e+02
2.014000000000000000e+03,6.699885650999999598e+03,2.100000000000000000e+01,1.867517871999999954e+02
2.005000000000000000e+03,1.655122686800000156e+04,6.800000000000000000e+01,1.779189323999999885e+02
1.967000000000000000e+03,2.937704343599999993e+04,6.200000000000000000e+01,1.959001011000000005e+02
1.961000000000000000e+03,2.416936577100000068e+04,8.500000000000000000e+01,1.630923547000000156e+02
1.965000000000000000e+03,1.074478936799999974e+04,6.800000000000000000e+01,2.195595335999999804e+02
2.005000000000000000e+03,1.533772788199999923e+04,1.500000000000000000e+01,1.776034732999999903e+02
1.925000000000000000e+03,5.894137931999999637e+03,6.300000000000000000e+01,1.649851092999999764e+02
2.016000000000000000e+03,2.857073829900000055e+04,9.300000000000000000e+01,1.356474130000000002e+02
1.926000000000000000e+03,5.089783757999999580e+03,9.800000000000000000e+01,9.242951630000000307e+01
1.928000000000000000e+03,5.192906087999999727e+03,9.400000000000000000e+01,1.747643413999999780e+02
1.923000000000000000e+03,9.331270222999999532e+03,8.300000000000000000e+01,1.858054099000000008e+02
1.924000000000000000e+03,6.440872086999999738e+03,9.900000000000000000e+01,9.179859810000000664e+01
