# Energy Star Score,Floor Area,Occupancy,Site EUI,Year Built
7.700000000000000000e+01,4.598698500000000422e+03,1.000000000000000000e+02,1.053633393999999868e+02,1.976000000000000000e+03
7.700000000000000000e+01,1.153743776400000024e+04,1.000000000000000000e+02,9.873869829999999581e+01,1.987000000000000000e+03
8.900000000000000000e+01,8.662554428999999800e+03,9.500000000000000000e+01,1.145116532999999919e+02,2.004000000000000000e+03
9.600000000000000000e+01,6.197094614999999976e+03,1.000000000000000000e+02,8.580487519999999790e+01,2.003000000000000000e+03
8.700000000000000000e+01,5.048720631999999569e+03,1.000000000000000000e+02,8.454303880000000504e+01,1.986000000000000000e+03
7.700000000000000000e+01,2.984601778000000195e+03,1.000000000000000000e+02,1.085179303999999973e+02,1.974000000000000000e+03
8.500000000000000000e+01,1.910643098000000009e+03,1.000000000000000000e+02,9.779232100000000116e+01,1.953000000000000000e+03
8.900000000000000000e+01,8.179180119999999988e+03,9.500000000000000000e+01,1.252372627000000023e+02,2.004000000000000000e+03
6.000000000000000000e+01,2.112892929000000095e+03,1.000000000000000000e+02,1.570986317999999926e+02,1.963000000000000000e+03
4.300000000000000000e+01,2.296747965999999906e+03,1.000000000000000000e+02,1.782343914999999868e+02,1.962000000000000000e+03
9.900000000000000000e+01,5.768904687999999624e+03,1.000000000000000000e+02,5.520534250000000043e+01,1.960000000000000000e+03
9.100000000000000000e+01,5.090619885000000068e+03,9.500000000000000000e+01,1.179817033999999865e+02,2.004000000000000000e+03
6.400000000000000000e+01,2.321645970000000034e+03,1.000000000000000000e+02,1.347010357000000056e+02,1.964000000000000000e+03
1.000000000000000000e+00,2.101372957000000042e+03,1.000000000000000000e+02,4.394345263000000159e+02,1.964000000000000000e+03
9.300000000000000000e+01,8.179180119999999988e+03,9.500000000000000000e+01,9.589956639999999766e+01,2.004000000000000000e+03
9.800000000000000000e+01,3.067935769000000164e+03,1.000000000000000000e+02,8.328120239999999797e+01,1.969000000000000000e+03
4.200000000000000000e+01,2.474935919999999896e+03,1.000000000000000000e+02,1.425875132000000178e+02,1.927000000000000000e+03
5.800000000000000000e+01,9.353659846000000471e+03,9.500000000000000000e+01,1.082024712999999849e+02,1.974000000000000000e+03
4.300000000000000000e+01,1.892619915999999876e+03,1.000000000000000000e+02,1.826508188999999902e+02,1.962000000000000000e+03
9.200000000000000000e+01,8.179180119999999988e+03,9.500000000000000000e+01,1.104106850000000009e+02,2.004000000000000000e+03
7.400000000000000000e+01,3.672455590000000029e+03,1.000000000000000000e+02,1.072560939999999903e+02,1.971000000000000000e+03
7.400000000000000000e+01,3.655547243999999864e+03,1.000000000000000000e+02,1.012623710999999957e+02,1.987000000000000000e+03
3.200000000000000000e+01,2.461557887999999821e+03,9.500000000000000000e+01,1.640387319999999818e+02,1.960000000000000000e+03
7.400000000000000000e+01,2.582703399999999874e+03,1.000000000000000000e+02,1.195589988999999917e+02,1.960000000000000000e+03
1.000000000000000000e+02,1.231299200799999926e+04,1.000000000000000000e+02,2.271305519999999945e+01,2.001000000000000000e+03
1.900000000000000000e+01,2.070064645999999811e+03,1.000000000000000000e+02,1.782343914999999868e+02,1.987000000000000000e+03
9.700000000000000000e+01,3.927845937000000049e+03,1.000000000000000000e+02,9.085222079999999778e+01,1.987000000000000000e+03
8.300000000000000000e+01,2.201150779000000057e+03,1.000000000000000000e+02,1.214517534999999953e+02,1.960000000000000000e+03
5.300000000000000000e+01,3.099244079999999940e+03,1.000000000000000000e+02,1.211362943999999970e+02,1.988000000000000000e+03
9.300000000000000000e+01,3.962312950000000001e+03,1.000000000000000000e+02,8.138844779999999446e+01,1.963000000000000000e+03
9.500000000000000000e+01,5.165871315000000322e+03,1.000000000000000000e+02,1.198744580000000042e+02,1.971000000000000000e+03
8.000000000000000000e+01,4.257930295999999544e+03,1.000000000000000000e+02,9.179859810000000664e+01,1.985000000000000000e+03
2.400000000000000000e+01,2.296747965999999906e+03,1.000000000000000000e+02,1.728715867999999887e+02,1.961000000000000000e+03
