# Floor Area,Year Built,Energy Star Score,Site EUI
6.651390285000000404e+03,1.923000000000000000e+03,1.000000000000000000e+02,7.287105210000000000e+01
2.740638499999999840e+04,1.950000000000000000e+03,9.400000000000000000e+01,1.794962278999999796e+02
1.523702102999999988e+04,2.007000000000000000e+03,9.900000000000000000e+01,1.063097167000000098e+02
5.295470999999999549e+03,1.980000000000000000e+03,3.600000000000000000e+01,3.375412369999999669e+02
2.056268550500000129e+04,2.007000000000000000e+03,9.400000000000000000e+01,1.671933229999999924e+02
3.096103958599999896e+04,2.008000000000000000e+03,3.100000000000000000e+01,2.589919210999999564e+02
7.227853399999999965e+03,2.003000000000000000e+03,2.300000000000000000e+01,2.406952932999999746e+02
1.025528346099999908e+04,1.926000000000000000e+03,3.500000000000000000e+01,1.839126552999999831e+02
7.432239999999999782e+03,2.003000000000000000e+03,1.000000000000000000e+00,7.299723573999999644e+02
9.049030908999999156e+03,1.930000000000000000e+03,5.200000000000000000e+01,2.514209026999999992e+02
5.092570848000000296e+03,1.969000000000000000e+03,9.900000000000000000e+01,1.220826717000000059e+02
1.031260461199999918e+04,2.001000000000000000e+03,8.900000000000000000e+01,1.410102176999999983e+02
9.260571040000000721e+03,1.928000000000000000e+03,4.900000000000000000e+01,3.596233740000000125e+02
5.388373999999999796e+03,1.927000000000000000e+03,1.000000000000000000e+02,1.242908853999999934e+02
5.299280023000000256e+03,1.924000000000000000e+03,4.000000000000000000e+00,2.242914200999999821e+02
8.477584555999999793e+03,2.016000000000000000e+03,6.600000000000000000e+01,2.141967289000000108e+02
8.361270000000000437e+03,2.002000000000000000e+03,9.900000000000000000e+01,1.741334232000000100e+02
1.693120013800000015e+04,1.964000000000000000e+03,4.000000000000000000e+01,3.410112870999999473e+02
7.432239999999999782e+03,1.926000000000000000e+03,7.400000000000000000e+01,2.580455437999999617e+02
3.397667096599999786e+04,1.929000000000000000e+03,8.700000000000000000e+01,1.870672462999999937e+02
3.110541084799999953e+04,1.982000000000000000e+03,4.300000000000000000e+01,2.627774302999999918e+02
7.796048147999999856e+03,1.929000000000000000e+03,9.000000000000000000e+01,2.447962615999999798e+02
2.537580412900000010e+04,1.958000000000000000e+03,6.700000000000000000e+01,2.772885489000000234e+02
8.639978999999999360e+03,1.994000000000000000e+03,8.000000000000000000e+01,2.466890161999999975e+02
7.023466800000000148e+03,1.926000000000000000e+03,2.900000000000000000e+01,3.435349598999999898e+02
2.263953207000000111e+04,1.990000000000000000e+03,2.100000000000000000e+01,2.905378310999999485e+02
2.443348900000000140e+04,1.930000000000000000e+03,1.000000000000000000e+00,6.369119229000000360e+02
2.695571254699999918e+04,2.007000000000000000e+03,1.800000000000000000e+01,2.340706522000000120e+02
2.912156018599999879e+04,1.965000000000000000e+03,2.700000000000000000e+01,3.274465457999999671e+02
6.596113000000000284e+03,1.994000000000000000e+03,3.400000000000000000e+01,3.425885825999999952e+02
2.828023061800000141e+04,2.009000000000000000e+03,4.700000000000000000e+01,2.280769292999999891e+02
7.707232879999999568e+03,1.926000000000000000e+03,9.200000000000000000e+01,2.031556604000000164e+02
3.908280565200000274e+04,1.927000000000000000e+03,6.000000000000000000e+01,1.987392329999999845e+02
9.584059285999999702e+03,2.005000000000000000e+03,4.700000000000000000e+01,2.791813035000000127e+02
1.161287500000000000e+04,2.000000000000000000e+03,4.500000000000000000e+01,2.031556604000000164e+02
1.071747588600000017e+04,1.928000000000000000e+03,7.300000000000000000e+01,1.845435735000000079e+02
3.066718739700000151e+04,1.884000000000000000e+03,8.500000000000000000e+01,1.514203679999999963e+02
1.021115453600000001e+04,2.006000000000000000e+03,8.200000000000000000e+01,2.612001348000000007e+02
5.970318392000000131e+03,1.967000000000000000e+03,7.800000000000000000e+01,2.848595672999999806e+02
5.341922499999999673e+03,1.991000000000000000e+03,8.100000000000000000e+01,2.107266787999999735e+02
4.369395315400000254e+04,1.985000000000000000e+03,1.400000000000000000e+01,2.757112534000000323e+02
1.581060415199999989e+04,1.910000000000000000e+03,8.200000000000000000e+01,1.526822043999999892e+02
2.734135289999999804e+04,1.920000000000000000e+03,7.100000000000000000e+01,1.309155264999999986e+02
6.748381016999999702e+03,2.014000000000000000e+03,3.000000000000000000e+00,3.148281817999999816e+02
6.096294859999999971e+03,1.924000000000000000e+03,4.000000000000000000e+01,2.731875805999999898e+02
4.728855602999999974e+03,1.925000000000000000e+03,8.900000000000000000e+01,2.608846757000000025e+02
1.365674099999999999e+04,1.969000000000000000e+03,5.000000000000000000e+01,2.968470130999999697e+02
5.759985999999999876e+03,1.970000000000000000e+03,9.800000000000000000e+01,2.246068792000000087e+02
4.661965443000000050e+03,2.015000000000000000e+03,4.400000000000000000e+01,2.719257441999999969e+02
7.432239999999999782e+03,1.985000000000000000e+03,9.900000000000000000e+01,1.078870122000000009e+02
6.038694999999999709e+03,1.913000000000000000e+03,3.000000000000000000e+01,2.350170295000000067e+02
6.316289163999999801e+03,1.999000000000000000e+03,8.500000000000000000e+01,2.419571296999999959e+02
7.330418311999999787e+03,1.999000000000000000e+03,9.700000000000000000e+01,1.643541911000000084e+02
1.199870115900000019e+04,1.987000000000000000e+03,7.000000000000000000e+00,2.195595335999999804e+02
3.600920279999999912e+04,1.992000000000000000e+03,5.800000000000000000e+01,2.154585652999999752e+02
6.379091591999999764e+03,1.981000000000000000e+03,9.000000000000000000e+00,2.760267124999999737e+02
1.747505429999999978e+04,2.010000000000000000e+03,2.400000000000000000e+01,2.476353934999999922e+02
3.196011844800000108e+04,2.008000000000000000e+03,6.600000000000000000e+01,2.160894835000000000e+02
3.970943638700000156e+04,1.966000000000000000e+03,4.600000000000000000e+01,2.930615038999999911e+02
5.667082999999999629e+03,1.989000000000000000e+03,8.000000000000000000e+01,1.993701512000000093e+02
1.682473329999999987e+04,2.009000000000000000e+03,9.200000000000000000e+01,1.668778638999999941e+02
5.109664999999999964e+03,1.920000000000000000e+03,9.000000000000000000e+01,2.375407022999999924e+02
2.069953162399999928e+04,2.002000000000000000e+03,7.000000000000000000e+01,1.851744917000000044e+02
5.333096714999999676e+03,1.926000000000000000e+03,9.600000000000000000e+01,1.738179641000000117e+02
3.555537164499999926e+04,2.009000000000000000e+03,3.000000000000000000e+01,1.476348587999999893e+02
6.237414517000000160e+03,1.925000000000000000e+03,7.600000000000000000e+01,2.533136572999999885e+02
2.595254595300000074e+04,1.969000000000000000e+03,2.200000000000000000e+01,3.583615375999999628e+02
1.810772373000000152e+04,1.965000000000000000e+03,4.700000000000000000e+01,2.678247759000000201e+02
6.702951449999999568e+03,1.903000000000000000e+03,8.000000000000000000e+00,2.697175305000000094e+02
5.574180000000000291e+03,2.015000000000000000e+03,7.200000000000000000e+01,2.940078811999999857e+02
2.774566675599999871e+04,1.927000000000000000e+03,6.800000000000000000e+01,1.851744917000000044e+02
1.932772592599999916e+04,1.964000000000000000e+03,3.600000000000000000e+01,3.309165959000000043e+02
4.715756279999999606e+03,1.915000000000000000e+03,7.000000000000000000e+00,4.933780323999999951e+02
7.432239999999999782e+03,1.923000000000000000e+03,1.000000000000000000e+00,4.100968300000000113e+02
6.967725000000000364e+03,2.014000000000000000e+03,2.800000000000000000e+01,2.630928893999999900e+02
7.311466099999999278e+04,1.967000000000000000e+03,8.100000000000000000e+01,2.006319876000000022e+02
6.406126365000000078e+03,1.970000000000000000e+03,7.000000000000000000e+01,2.630928893999999900e+02
6.689015999999999622e+03,1.977000000000000000e+03,1.700000000000000000e+01,1.993701512000000093e+02
1.768269250499999907e+04,1.916000000000000000e+03,9.800000000000000000e+01,2.123039742999999930e+02
6.317403999999999542e+03,2.008000000000000000e+03,2.200000000000000000e+01,2.126194334000000197e+02
5.933686739099999977e+04,1.925000000000000000e+03,9.400000000000000000e+01,1.217672126000000077e+02
1.965901802400000088e+04,1.930000000000000000e+03,5.300000000000000000e+01,2.772885489000000234e+02
1.021932999999999993e+04,2.000000000000000000e+03,2.700000000000000000e+01,3.182982319000000189e+02
3.112092564900000070e+04,1.968000000000000000e+03,3.000000000000000000e+01,3.160900181999999745e+02
4.201324498099999619e+04,2.006000000000000000e+03,4.400000000000000000e+01,2.602537575000000061e+02
1.292224988200000007e+04,1.926000000000000000e+03,6.500000000000000000e+01,2.864368627999999717e+02
2.798089715200000137e+04,2.003000000000000000e+03,1.000000000000000000e+00,4.157750938000000360e+02
3.032725532000000021e+04,1.965000000000000000e+03,6.800000000000000000e+01,2.277614701999999909e+02
4.487512189599999692e+04,1.969000000000000000e+03,1.000000000000000000e+02,6.088360630000000384e+01
2.824056103699999949e+04,1.956000000000000000e+03,3.500000000000000000e+01,4.186142256999999631e+02
9.283332275000000664e+03,1.926000000000000000e+03,2.400000000000000000e+01,2.782349262000000181e+02
9.872987616000000344e+03,1.976000000000000000e+03,5.500000000000000000e+01,2.873832400999999663e+02
1.798295500099999845e+04,1.921000000000000000e+03,9.400000000000000000e+01,1.791807687999999814e+02
7.106800790999999663e+03,1.992000000000000000e+03,4.900000000000000000e+01,2.511054435999999725e+02
5.625843358299999818e+04,1.988000000000000000e+03,2.000000000000000000e+00,2.763421715999999719e+02
7.158176150000000234e+03,2.017000000000000000e+03,4.600000000000000000e+01,1.634078137999999853e+02
2.511307444499999838e+04,1.982000000000000000e+03,7.600000000000000000e+01,2.589919210999999564e+02
1.213220276999999987e+04,1.950000000000000000e+03,5.600000000000000000e+01,3.318629731999999990e+02
9.099755946999999651e+03,1.983000000000000000e+03,1.200000000000000000e+01,2.438498842999999852e+02
4.936493808000000172e+03,1.970000000000000000e+03,8.200000000000000000e+01,2.047329559000000074e+02
1.094025727999999981e+04,2.001000000000000000e+03,3.600000000000000000e+01,2.362788658999999996e+02
6.330038808000000245e+03,1.924000000000000000e+03,9.200000000000000000e+01,1.728715867999999887e+02
5.543243300999999519e+03,1.924000000000000000e+03,1.000000000000000000e+01,4.265007031999999754e+02
4.565253420000000187e+04,1.969000000000000000e+03,5.000000000000000000e+01,2.640392666999999847e+02
1.498060874999999942e+04,1.978000000000000000e+03,8.400000000000000000e+01,1.460575632999999982e+02
2.824056103699999949e+04,1.956000000000000000e+03,2.700000000000000000e+01,4.457437083000000371e+02
6.457873335999999654e+03,1.922000000000000000e+03,3.100000000000000000e+01,2.722412032999999951e+02
1.393545000000000073e+04,2.011000000000000000e+03,7.800000000000000000e+01,1.570986317999999926e+02
8.662926041000000623e+03,1.970000000000000000e+03,8.900000000000000000e+01,2.145121879999999805e+02
5.418195862999999918e+03,1.969000000000000000e+03,9.400000000000000000e+01,2.312315202999999713e+02
1.151560555899999963e+04,1.968000000000000000e+03,8.400000000000000000e+01,2.201904517999999769e+02
4.908530004999999619e+03,2.008000000000000000e+03,8.300000000000000000e+01,1.438493496000000107e+02
5.495212449999999990e+03,1.933000000000000000e+03,7.800000000000000000e+01,2.201904517999999769e+02
1.217029299999999967e+04,1.978000000000000000e+03,8.700000000000000000e+01,1.876981644999999901e+02
1.801203364000000147e+04,1.930000000000000000e+03,6.400000000000000000e+01,2.605692165999999474e+02
3.603168532599999889e+04,2.011000000000000000e+03,1.600000000000000000e+01,2.220832064000000230e+02
4.645149999999999636e+03,1.996000000000000000e+03,8.500000000000000000e+01,1.870672462999999937e+02
2.257542900000000009e+04,2.006000000000000000e+03,1.600000000000000000e+01,2.640392666999999847e+02
1.323867749999999978e+04,1.925000000000000000e+03,4.600000000000000000e+01,1.839126552999999831e+02
1.058601814100000047e+04,2.016000000000000000e+03,4.700000000000000000e+01,2.564682482999999706e+02
1.081390920000000006e+04,1.993000000000000000e+03,9.500000000000000000e+01,1.331237402000000145e+02
2.536623512000000119e+04,2.001000000000000000e+03,3.100000000000000000e+01,2.580455437999999617e+02
2.509282159099999990e+04,2.016000000000000000e+03,4.000000000000000000e+01,1.722406685999999922e+02
2.630501993500000026e+04,2.002000000000000000e+03,3.700000000000000000e+01,1.946382647000000077e+02
9.940620999999999185e+03,1.929000000000000000e+03,1.000000000000000000e+02,1.429029722999999876e+02
5.796032363999999689e+03,1.925000000000000000e+03,8.400000000000000000e+01,2.605692165999999474e+02
4.681196364000000358e+03,1.983000000000000000e+03,9.600000000000000000e+01,1.627768955999999889e+02
1.167047486000000026e+04,2.001000000000000000e+03,3.200000000000000000e+01,3.003170632000000069e+02
6.596113000000000284e+03,1.970000000000000000e+03,9.700000000000000000e+01,2.372252431999999942e+02
9.174171249999999418e+03,1.966000000000000000e+03,8.800000000000000000e+01,1.763416368999999975e+02
