# Year Built,Floor Area,Energy Star Score,Site EUI
2.009000000000000000e+03,1.518035020000000077e+04,3.000000000000000000e+01,2.391179977999999835e+02
1.960000000000000000e+03,5.667082999999999629e+03,6.100000000000000000e+01,2.365943249999999978e+02
1.990000000000000000e+03,1.114836000000000058e+04,4.000000000000000000e+00,2.350170295000000067e+02
2.001000000000000000e+03,5.914669495000000097e+03,2.600000000000000000e+01,2.347015704000000085e+02
1.970000000000000000e+03,5.169215822999999546e+03,6.200000000000000000e+01,2.343861112999999818e+02
1.968000000000000000e+03,2.088645246000000043e+04,1.800000000000000000e+01,2.343861112999999818e+02
1.998000000000000000e+03,1.603765908400000080e+04,8.800000000000000000e+01,2.340706522000000120e+02
1.963000000000000000e+03,6.017141504000000168e+03,4.800000000000000000e+01,2.337551930999999854e+02
1.953000000000000000e+03,2.972895999999999913e+04,2.600000000000000000e+01,2.334397339999999872e+02
1.966000000000000000e+03,5.748466027999999824e+03,4.100000000000000000e+01,2.324933566999999925e+02
2.004000000000000000e+03,5.447739016999999876e+03,2.000000000000000000e+01,2.315469794000000263e+02
1.974000000000000000e+03,7.941348439999999755e+03,1.000000000000000000e+01,2.299696839000000068e+02
2.012000000000000000e+03,9.424266126000000440e+03,2.000000000000000000e+00,2.296542247999999802e+02
1.963000000000000000e+03,7.628646232299999974e+04,7.900000000000000000e+01,2.293387657000000104e+02
1.980000000000000000e+03,1.041108179199999904e+04,8.000000000000000000e+00,2.283923884000000157e+02
1.989000000000000000e+03,7.413659399999999550e+03,3.000000000000000000e+00,2.277614701999999909e+02
1.964000000000000000e+03,2.425093460499999856e+04,5.400000000000000000e+01,2.277614701999999909e+02
1.967000000000000000e+03,2.449201788999999917e+04,6.200000000000000000e+01,2.271305519999999945e+02
1.955000000000000000e+03,1.019610425000000032e+04,9.400000000000000000e+01,2.258687155999999732e+02
1.928000000000000000e+03,3.994996225399999821e+04,2.000000000000000000e+00,2.208213700000000017e+02
1.926000000000000000e+03,6.591560752999999750e+03,1.700000000000000000e+01,2.176667789999999911e+02
1.912000000000000000e+03,9.264472965999999360e+03,1.500000000000000000e+01,2.173513199000000213e+02
1.958000000000000000e+03,2.540980662699999812e+04,8.300000000000000000e+01,2.164049425999999698e+02
1.965000000000000000e+03,5.584650168100000155e+04,7.000000000000000000e+01,2.164049425999999698e+02
1.991000000000000000e+03,6.026803415999999743e+03,4.900000000000000000e+01,2.154585652999999752e+02
2.014000000000000000e+03,1.304014378899999974e+04,6.000000000000000000e+00,2.154585652999999752e+02
1.950000000000000000e+03,9.460033781000000090e+03,1.000000000000000000e+00,2.151431062000000054e+02
1.967000000000000000e+03,1.778079807299999811e+04,8.100000000000000000e+01,2.148276470999999788e+02
1.963000000000000000e+03,6.772628700000000208e+03,7.000000000000000000e+01,2.138812697999999841e+02
1.998000000000000000e+03,1.140179938399999992e+04,3.300000000000000000e+01,2.129348924999999895e+02
2.005000000000000000e+03,5.201174455000000307e+03,3.300000000000000000e+01,2.123039742999999930e+02
2.008000000000000000e+03,5.574180000000000291e+03,2.000000000000000000e+00,2.119885151999999948e+02
1.983000000000000000e+03,2.591306217800000013e+04,3.500000000000000000e+01,2.100957605999999771e+02
1.939000000000000000e+03,4.551596679000000222e+03,5.700000000000000000e+01,2.091493832999999825e+02
1.960000000000000000e+03,5.938173953999999867e+03,8.500000000000000000e+01,2.078875469000000180e+02
1.964000000000000000e+03,1.599789660000000003e+04,6.500000000000000000e+01,2.069411695999999665e+02
1.961000000000000000e+03,1.323681943999999930e+04,6.100000000000000000e+01,2.069411695999999665e+02
1.950000000000000000e+03,9.805911650000000009e+03,1.400000000000000000e+01,2.066257104999999967e+02
1.994000000000000000e+03,1.039491667000000052e+04,6.000000000000000000e+01,2.056793332000000021e+02
