# Year Built,Number of Floors,Floor Area,Energy Star Score,Site EUI
1.993000000000000000e+03,5.000000000000000000e+00,1.591484131800000068e+04,9.700000000000000000e+01,8.643579339999999434e+01
1.990000000000000000e+03,4.000000000000000000e+00,4.016010883999999805e+03,1.000000000000000000e+02,8.075752959999999803e+01
1.967000000000000000e+03,5.000000000000000000e+00,2.158229593000000023e+03,9.700000000000000000e+01,7.444834760000000529e+01
1.999000000000000000e+03,6.000000000000000000e+00,1.599092887499999961e+04,1.000000000000000000e+02,1.312309855999999968e+02
1.923000000000000000e+03,6.000000000000000000e+00,3.646535652999999911e+03,8.600000000000000000e+01,1.047324212000000045e+02
1.992000000000000000e+03,5.000000000000000000e+00,4.154157645000000230e+03,8.300000000000000000e+01,1.350164947999999754e+02
1.994000000000000000e+03,7.000000000000000000e+00,5.821209076999999525e+03,9.600000000000000000e+01,1.113570622999999813e+02
1.916000000000000000e+03,3.000000000000000000e+00,5.263140755999999783e+03,9.900000000000000000e+01,8.706671160000000498e+01
1.996000000000000000e+03,5.000000000000000000e+00,1.932196594000000005e+03,9.200000000000000000e+01,9.810778009999999938e+01
1.965000000000000000e+03,3.000000000000000000e+00,1.815510426000000052e+03,7.700000000000000000e+01,8.959038439999999071e+01
1.988000000000000000e+03,4.000000000000000000e+00,2.929881910999999945e+03,8.600000000000000000e+01,1.119879804999999919e+02
1.980000000000000000e+03,5.000000000000000000e+00,4.528463832000000366e+03,5.400000000000000000e+01,1.018932892999999922e+02
1.999000000000000000e+03,7.000000000000000000e+00,6.759900988999999754e+03,9.800000000000000000e+01,1.031551257000000135e+02
1.980000000000000000e+03,4.000000000000000000e+00,5.537018799999999828e+03,5.900000000000000000e+01,7.602564309999999637e+01
1.978000000000000000e+03,4.000000000000000000e+00,2.988689510000000155e+03,8.600000000000000000e+01,7.160921569999999292e+01
1.992000000000000000e+03,7.000000000000000000e+00,4.380469353000000410e+03,9.800000000000000000e+01,1.495276133999999786e+02
1.925000000000000000e+03,3.000000000000000000e+00,2.017109936000000062e+03,9.600000000000000000e+01,1.779189323999999885e+02
1.984000000000000000e+03,4.000000000000000000e+00,5.374995968000000175e+03,6.400000000000000000e+01,9.242951630000000307e+01
1.981000000000000000e+03,3.000000000000000000e+00,4.988705294000000322e+03,9.700000000000000000e+01,6.372273819999999489e+01
